;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
0;213809;13149a;neve;3;PRED_CO;verb;-;0;Latin;-250.0;-314.0;In hoce loucarid stircus / ne [qu]is fundatid neve cadaver / proiecita(ti)d neve parentatid / sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod seive / mag[i]steratus volet moltare / [li]cetod;0;1;0;1;0;0;O
1;213812;13149a;neve;2;PRED_CO;verb;RELIGION;0;Latin;-250.0;-314.0;In hoce loucarid stircus / ne [qu]is fundatid neve cadaver / proiecita(ti)d neve parentatid / sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod seive / mag[i]steratus volet moltare / [li]cetod;0;1;0;0;0;1;O
2;515073;;-;1;SBJ_CO;noun;PROPER;0;Latin;-241.0;-264.0;M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt) /;1;0;0;0;1;0;A
3;515074;;-;1;SBJ_CO;noun;PROPER;0;Latin;-241.0;-264.0;[M(arcus) Populicio(s)] L(uci) f(ilius) q(uaestores) p(robaverunt) /;1;0;0;0;1;0;A
4;314637;13568a;que;2;PRED_CO;verb;-;1;Latin;-231.0;-270.0;C(aius) Scautio(s) L(uci) f(ilius) aidile(s) faice[ // ]mque dedit [ // aq]uaque adouxet;0;1;0;0;1;0;S
5;515075;;-;3;SBJ_CO;noun;PROPER;0;Latin;-231.0;-270.0;M(arcus) C(aius) Pomplio(s) No(ni) f(ilii) / dedron / Hercole;1;0;0;1;0;0;A
6;515076;;-;2;SBJ_CO;noun;PROPER;0;Latin;-230.0;-299.0;XI // C(aius) Cinci(os) / aidile(s) / ple{i}b(i) // Q(uintus) [---] / P(ublius) C[---] / probave[r]o(nt);1;0;0;0;0;1;A
7;515077;;-;2;SBJ_CO;noun;PROPER;0;Latin;-225.0;-275.0;L(ucius) Macil[ius 1 f(ilius)] / L(ucius) Fahidi[us 1 f(ilius)] / aediles d[uoviri] / dedere aere / moltatic[io] //;1;0;0;0;0;1;A
8;515078;;-;3;SBJ_CO;noun;PROPER;0;Latin;-225.0;-275.0;Q(uintus) K(aeso) Cestio(s) Q(uinti) f(ilius) / Hercole donu(m) / [d]edero;1;0;0;1;0;0;A
9;314638;13568a;q(ue);2;ADV_CO;pronoun;-;0;Latin;-225.0;-275.0;L(ucius) Gemenio(s) L(uci) f(ilius) Pelt(uino?) / Hercole dono(m) / dat lub(en)s mer(i)tod / pro sed sueq(ue) /;0;0;0;0;0;1;S
