;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Isogloss;Date_average;Old
158715;995;1612;543;158715;4;onse.;onse;ADV;158716;204370.0;10985a;10985;1.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;LOC;-;n-s---m--;M-sg;shoulder;BODY;-;umerus;in umero;-;omesoy;on-se-;49 pone 50 esonome. ferar. pufe. pir. entelust. ere. fertu. poe perca. arsmatiam. habiest. erihont. aso. destre. onse. fertu.;Table 6b (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;0;-125.0;0
157343;995;1432;363;157343;11;totem;totem;ADV;148481;202998.0;11551a;11551;139.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;LOC;-;n-s---f--;F-sg;state;POLITICS;-;populus;in populo;-;towtem;to-tem;26 dei. grabouie. orer. ose. persei. ocre. fisie. pir. orto. est. toteme. iouine. arsmor. dersecor / 27 subator. sent. pusei. neip. heritu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;1;-125.0;0
150277;1481;2328;12;150277;7;bansae;bansae;ADV;150278;195932.0;10220a;10220;4.0;Oscan;A-stem;noun;-;-;-;-;-;singular;F;LOC;-;n-s---f--;F-sg;Bantia;PROPER;TOPONYM;Bantia;Bantiae;-;bantyay;Bans-ae;pr(aetor) suae praefucus pod post exac Bansae fust suae pis op eizois com / a<l>trud ligud agum herest auti pru medicatud manim aserum eizazunc egmazum / pas exaiscen ligis scriftas set, ne p{h}im pruhipid mais zicolois X nesimois.;;Bantia 1 (Imagines Italicae);Lex Bantiae;Oscan;Indo-European::Italic::Latino-Sabellic::Sabellic;Oscan;Oscan;-90.0;-89.0;Italy;932.0;42.330556;12.603889;True;True;478;170991;0;-89.5;0
151473;1470;2303;1;151473;12;maronatei;maronatei;;0;197128.0;10823a;10823;2.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;LOC;-;n-s---m--;M-sg;maronate;POLITICS;-;Maronatus;in maronato;-;maroonaatey;maro-na-tei;ager- emps· et / - termnas· oht(retie) / c(aie) u· uistinie· ner(ie)· t· babr(ie) / -- maronatei -- / uois(ie)· ner(ie)· propartie / t· u· uoisiener -- / -;;Asisium 1 (Imagines Italicae);;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Latin;-99.0;-90.0;Asisium (Assisi), near;3363.0;43.071066;12.620413;True;True;20;170087;0;-94.5;0
151660;1605;2482;1;151660;9;uepetí[n⁝][-];uepetin;;0;197315.0;10766a;10766;6.0;Old Sabellic;C-stem;noun;-;-;-;-;-;singular;M/N;LOC;-;n-s---m--;M-sg;tomb;BUILDING;-;sepulcrum;in sepulcrum;-;lepeteen;uepetí-n;[---]ms⁝ im⁝ fítias⁝ ú⁝ ṃ[úfqlúm][---] / [---]oeae - ⁝ op̣esa-úom⁝ [---] / [---]-⁝ esmík⁝ uepetí[n⁝][---] / [---][⁝] esmak⁝ toútaih⁝ [---] / [---][⁝ ]p̣ṛạistaíúh⁝ nekae⁝ [---];;Cures 2 (Imagines Italicae);;Old Sabellic;Indo-European::Italic::Latino-Sabellic::Sabellic;South Picene;South Picene;-650.0;-1.0;Cures (Fara in Sabina);14403.0;42.178026;12.684231;True;True;13;170132;1;-325.5;0
151662;1605;2482;1;151662;11;toútaih⁝;toutaih;;0;197317.0;11551a;11551;3.0;Old Sabellic;A-stem;noun;-;-;-;-;-;singular;F;LOC;-;n-s---f--;F-sg;state;POLITICS;-;populus;in populo;-;towtay-;toútaih;[---]ms⁝ im⁝ fítias⁝ ú⁝ ṃ[úfqlúm][---] / [---]oeae - ⁝ op̣esa-úom⁝ [---] / [---]-⁝ esmík⁝ uepetí[n⁝][---] / [---][⁝] esmak⁝ toútaih⁝ [---] / [---][⁝ ]p̣ṛạistaíúh⁝ nekae⁝ [---];;Cures 2 (Imagines Italicae);;Old Sabellic;Indo-European::Italic::Latino-Sabellic::Sabellic;South Picene;South Picene;-650.0;-1.0;Cures (Fara in Sabina);14403.0;42.178026;12.684231;True;True;13;170132;0;-325.5;0
151646;881;952;1;151646;2;uẹ[peteí⁝][---];uepetei;;0;197301.0;10766a;10766;6.0;Old Sabellic;C-stem;noun;-;-;-;-;-;singular;M/N;LOC;-;n-s---m--;M-sg;tomb;BUILDING;-;sepulcrum;in sepulcro;-;lepetey;uepeteí;[---][es]ṃeí⁝ uẹ[peteí⁝][---] / [---]ẹmo[---] / [---]mú[---] / [[.?]] / [---]-pim<í>⁝ adede⁝ ṃ[---] /;;Cures 1 (Imagines Italicae);;Old Sabellic;Indo-European::Italic::Latino-Sabellic::Sabellic;South Picene;South Picene;-525.0;-475.0;Cures (Fara in Sabina);14403.0;42.178026;12.684231;False;True;7;170131;0;-500.0;1
151452;1225;2034;2;151452;7;maronato;maronato;;0;197107.0;10823a;10823;2.0;Umbrian;O-stem;noun;-;-;-;-;-;singular;M;LOC;-;n-s---m--;M-sg;maronate;POLITICS;-;Maronatus;in maronato;-;maroonaatey;maro-na-to-;cubrar· matrer· bio· eso / oseto· cisterno· n· CLV / IIII / su· maronato / u· l· uarie -· t· (c(aie)· fu /lonie;;Tadinum 3 (Imagines Italicae);;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Latin;-175.0;-125.0;Tadinum (Gualdo Tadino);14395.0;43.211631;12.767267;True;True;17;170085;0;-150.0;0
151690;883;954;1;151690;4;uepetín⁝;uepetin;;0;197345.0;10766a;10766;6.0;Old Sabellic;C-stem;noun;-;-;-;-;-;singular;?;LOC;-;n-s------;sg;tomb;BUILDING;-;sepulcrum;in sepulcro;-;lepeteen;uepetí-n;ẹsmín⁝ apais⁝ pu/púṇies⁝ uepetín⁝;;Urbs Saluia 2 (Imagines Italicae);;Old Sabellic;Indo-European::Italic::Latino-Sabellic::Sabellic;South Picene;South Picene;-525.0;-475.0;Urbs Salvia (Urbisaglia);14406.0;43.192341;13.373905;False;True;4;170140;1;-500.0;1
151808;1270;2085;1;151808;1;mesene;mesene;;0;197463.0;10858a;10858;2.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;M;LOC;-;n-s---m--;M-sg;month;TIME;-;mensis;in mensi;-;meens(e)ney;me-s--e-ne-;mesene / flusare / poimunien / atrno / aunom / hiretum;;Aveia 1 (Imagines Italicae);;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Volscian;Latin;-150.0;-100.0;Aveia (Fossa);14417.0;42.359661;13.470296;False;True;6;170159;0;-125.0;0
