;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
165253;2;2;1;165253;2;med;med;OBJ;165254;1468699.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;Manios med fhefhaked Numasioi;;CIL XIV 4123;Fibula Praenestina;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-675.0;-625.0;Praeneste (Palestrina);;41.8279573;12.879636;True;True;4;256173;-650.0;-6;[165254];[165253];1;facio;1;0;[165253];0
165260;5;5;1;165260;4;med;med;OBJ;165261;1468698.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;Iovesat deivos qoi med mitat / nei ted endo cosmis uirco sied asted noisi ope toitesiai pakari vois;;CIL I² 4;Duenos inscription;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-625.0;-575.0;Rome;;41.9097374;11.976887;True;True;28;568865;-600.0;-6;[165261];[165260];1;do;0;0;[165260];0
165275;5;6;2;165275;2;med;med;OBJ;165276;1468695.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;Duenos med decet en manom einom dzenoi;;CIL I² 4;Duenos inscription;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-625.0;-575.0;Rome;;41.9097374;11.976887;True;True;28;568865;-600.0;-6;[165276];[165275];1;facio;1;0;[165275];0
165281;5;7;3;165281;2;med;med;OBJ;165283;1468701.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;ne med malos tatod;;CIL I² 4;Duenos inscription;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-625.0;-575.0;Rome;;41.9097374;11.976887;True;True;28;568865;-600.0;-6;[165283];[165281];1;furor;1;0;[165281];0
255435;13;16;1;255435;4;me{d};med;OBJ;255434;1468694.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;Semp[---]os ficolos feced me{d};;EDCS 70900941;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-499.0;-450.0;Rome;;41.9097374;11.9768932;True;True;4;698354;-474.5;-4;[255434];[255435];1;facio;1;1;[255435];0
238784;23;29;2;238784;3;med;med;OBJ;238786;1468702.0;12444a;12444;31.0;Latin;IRR;pronoun;-;-;-;-;-;singular;-;ACC;-;p-s----a-;acc-sg;I;-;-;ego;me;-;me-;med;Novios Plautios med Romai fecid;;CIL XIV 4112;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-350.0;-325.0;Praeneste (Palestrina);;41.8279573;12.8796689;True;True;9;257881;-337.5;-3;[238786];[238784];1;facio;1;0;[238784];0
238713;49;55;1;238713;6;cata;cata;OBJ;238714;1465414.0;12515a;12515;2.0;Latin;O-stem;noun;-;-;-;-;-;plural;N;ACC;-;n-p---na-;N-acc-pl;utterance;-;-;fatum;fata;-;fata;cata;Menio / Casia Acila / Ceisia Loucilia cata ret(tulit) Iunio Setio atos ret(tulit);;CIL XIV 4104;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-325.0;-275.0;Praeneste (Palestrina);;41.8279573;12.8796682;True;True;11;257885;-300.0;-3;[238714];[238713];1;refero;1;0;[238713];0
165518;52;59;1;165518;3;ted;ted;OBJ;165517;1468727.0;14046a;14046;13.0;Latin;IRR;pronoun;-;-;-;-;-;singular;M;ACC;-;p-s---ma-;M-acc-sg;you (sg);-;-;tu;te;-;te-;ted;Opeinod // devincam ted;;CIL I² 547;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-270.0;Praeneste (Palestrina);;41.8279573;12.8796392;True;True;3;257873;-284.5;-2;[165517];[165518];1;devinco;0;1;[165518];0
213805;86;93;1;213805;4;stircus;stircus;OBJ;213808;1466242.0;13867a;13867;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;dung;-;-;stercus;stercum;-;stercum;stircus;In hoce loucarid stircus / ne [qu]is fundatid neve cadaver / proiecita(ti)d neve parentatid / sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod seive / mag[i]steratus volet moltare / [li]cetod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;[213808];[213805];1;fundo;1;0;[213805];0
213810;86;93;1;213810;9;cadaver;cadaver;OBJ;213811;1465594.0;12058a;12058;1.0;Latin;C-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;corpse;-;-;cadaver;cadaver;-;cadauer;cadauer;In hoce loucarid stircus / ne [qu]is fundatid neve cadaver / proiecita(ti)d neve parentatid / sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod seive / mag[i]steratus volet moltare / [li]cetod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;[213811];[213810];1;proicio;1;0;[213810];0
177124;123;134;1;177124;5;faice[]m;faicem;OBJ;177126;1468526.0;12500a;12500;1.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;-;-;-;faex;faecem;-;faecem;faicem;C(aius) Scautio(s) L(uci) f(ilius) aidile(s) faice[ // ]mque dedit [ // aq]uaque adouxet;;CIL I² 2443;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Lanuvium (Lanuvio);;41.6701012;12.6929971;True;True;10;256157;-250.5;-2;[177126];[177124];1;do;1;0;[177124];0
177127;123;134;1;177127;8;aq]ua;aqua;OBJ;177128;1465244.0;11915a;11915;2.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;water;VICTUALS;-;aqua;aquam;-;aquam;aqua-;C(aius) Scautio(s) L(uci) f(ilius) aidile(s) faice[ // ]mque dedit [ // aq]uaque adouxet;;CIL I² 2443;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Lanuvium (Lanuvio);;41.6701012;12.6929971;True;True;10;256157;-250.5;-2;[177128];[177127];1;adduco;1;0;[177127];0
241933;140;153;1;241933;11;en[bol(um)];enbolum;OBJ;241934;1465331.0;12451a;12451;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;beak of a ship;-;-;enbolum;enbolum;-;enbolum;enbolum;C(aius) Sestio(s) P(ubli) f(ilius) / Q(uintus) Salonio(s) Q(uinti) [f(ilius)] / sexvir(i) q(uaestores) en[bol(um)] / probave[runt];;EDCS 56500187;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-202.0;Drepanon (Trapani);;37.9590151;12.2320965;True;True;12;674853;-233.0;-2;[241934];[241933];1;probo;0;0;[241933];0
238895;319;337;1;238895;6;seignum;seignum;OBJ;238901;1465352.0;13804a;13804;8.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;mark;-;-;signum;signum;-;si-gnum;seignum;Poublilia Turpilia Cn(aei) uxor / hoce seignum pro Cn(aei) filiod / Dianai donum dedit;;CIL XIV 4270;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-200.0;Boccanera;;41.712222;12.7025;True;True;12;546077;-237.5;-2;[238901];[238895];2;do;1;0;[238895];0
255736;325;343;1;255736;1;[pr]aipete;praipete;OBJ;255739;1465835.0;13483a;13483;1.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;ACC;-;n-p---ma-;M-acc-pl;outstripping;-;-;praepes;praepetes;-;praepetes;praipete-;] / [pr]aipete en / [p]laga dedre;;EDCS 70800216;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-220.0;-200.0;Trebiae (Trevi);;42.876716;12.745157;True;True;4;699360;-210.0;-2;[255739];[255736];1;do;1;0;[255736];0
198929;329;349;3;198929;17;taurasia;taurasia;OBJ_CO;515088;1464978.0;13943a;13943;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;Taurasia;PROPER;TOPONYM;Taurasia;Taurasiam;-;taurasiam;taurasia-;fortis vir sapiensque quoius forma virtutei parisuma / fuit consol censor aiidilis quei fuit apud vos Taurasia Cisauna / Samnio cepit;;CIL VI 1285;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-190.0;Rome;;41.9097374;11.9768893;True;True;38;271103;-207.5;-2;[198932];[198929, 198930, 198931];3;capio;1;0;[198929, 198930, 198931];0
198935;329;350;4;198935;3;l{o}ucanam;loucanam;OBJ;198933;1465081.0;12901a;12901;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;Lucana;PROPER;TOPONYM;Lucana;Lucanam;-;lu-canam;loucanam;subigit omne L{o}ucanam;;CIL VI 1285;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-190.0;Rome;;41.9097374;11.9768893;True;True;38;271103;-207.5;-2;[198933];[198935];2;subigo;1;1;[198935];0
198936;329;351;5;198936;1;opsides;opsides;OBJ;198937;1366818.0;13206a;13206;2.0;Latin;-;noun;-;-;-;-;-;plural;M;ACC;-;n-p---ma-;M-acc-pl;-;-;-;obses;obsides;-;obsides;opsides;opsidesque abd{o}ucit;;CIL VI 1285;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-190.0;Rome;;41.9097374;11.9768893;True;True;38;271103;-207.5;-2;[198937];[198936];1;abduco;1;0;[198936];0
177104;334;356;1;177104;13;aras;aras;OBJ;177105;1465183.0;11921a;11921;9.0;Latin;A-stem;noun;-;-;-;-;-;plural;F;ACC;-;n-p---fa-;F-acc-pl;altar;RELIGION;-;ara;aras;-;aras;aras;C(aius) Saufeio(s) C(ai) f(ilius) / Sabini / C(aius) Orcevio(s) M(arci) f(ilius) / [---]i / censores / hasce aras / probaveront / Iuno(ne) Palostca/ria;;CIL I² p. 994 ad no. 2439 descr.;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-220.0;-180.0;Praeneste (Palestrina);;41.8279573;12.8796396;True;True;16;249900;-200.0;-2;[177105];[177104];2;probo;1;0;[177104];0
251421;335;357;1;251421;7;don(um);donum;OBJ;251422;1366867.0;12427a;12427;106.0;Latin;-;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donum;Dianai / C(aius) Atini[us C(ai) f(ilius)] / pr(aetor) don(um) [dat];;EDCS 64800411;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-199.0;-180.0;Nemus Dianae (Nemi);;41.720306;12.7171421;True;True;8;667389;-189.5;-1;[251422];[251421];1;do;1;0;[251421];0
209534;352;375;1;209534;7;a[ram(?)];aram;OBJ;209535;1465181.0;11921a;11921;9.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;altar;RELIGION;-;ara;aram;-;aram;aram;[Aesculapio] / [ // --- Val]eri(us?) M(arci) [f(ilius) ---] / aed(iles) cur(ules) a[ram(?)] / [co]ns(acraverunt) L(ucius) Atil[i(us) --- f(ilius) ---] / [refici]und(um) c[oeravit];;EDCS 51200139;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-175.0;Rome;;41.9097374;11.9768921;True;True;13;276856;-200.0;-2;[209535];[209534];1;consacro;1;0;[209534];0
198973;421;449;3;198973;9;vos];vos;OBJ;198972;1468723.0;14285a;14285;13.0;Latin;IRR;pronoun;-;-;-;-;-;plural;M;ACC;-;p-p---ma-;M-acc-pl;you (pl);-;-;vos;vos;-;uos;uos;filios Barbati / consol censor aidilis hic fuet a[pud vos] /;;CIL VI 1287;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-150.0;Rome;;41.9097374;11.9768895;True;True;38;274500;-187.5;-1;[198971];[198973];1;sum;1;1;[198973];0
198976;421;450;4;198976;3;corsica(m);corsicam;OBJ_CO;319331;1464672.0;12301a;12301;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;Corsica;PROPER;TOPONYM;Corsica;Corsicam;-;corsicam;corsicam;hec cepit Corsica(m) Aleria(m)que urbe(m) /;;CIL VI 1287;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-150.0;Rome;;41.9097374;11.9768895;True;True;38;274500;-187.5;-1;[198975];[198976, 198977];3;capio;1;1;[198976, 198977];0
198981;421;451;5;198981;3;aide;aide;OBJ;198979;1465776.0;11764a;11764;13.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;temple, building;BUILDING;-;aedes;aedem;-;aedem;aide-;dedet Tempestatebus aide mereto[d];;CIL VI 1287;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-150.0;Rome;;41.9097374;11.9768895;True;True;38;274500;-187.5;-1;[198979];[198981];1;do;1;1;[198981];0
176914;456;488;1;176914;1;[ae]dem;aedem;OBJ_CO;515096;1374792.0;11764a;11764;13.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;temple, building;BUILDING;-;aedes;aedem;-;aedem;aedem;] / [ae]dem signa p[---] / [---] eidemq(ue) pr[obavit] / [;;CIL I² 1896;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-199.0;-100.0;Adria (Atri);;42.5875506;13.981478;True;True;6;261068;-149.5;-1;[176916];[176914, 176915];2;-;1;0;[176914, 176915];0
224152;476;509;1;224152;5;vitam;vitam;OBJ;224153;1375326.0;14251a;14251;7.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;life;-;-;vita;vitam;-;uitam;uitam;Alei in Venerieis [rebus vitam conterunt] / mihei contra ri[te partam Venerem mors rapit(?)];;CIL X 5019;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-199.0;-100.0;Venafrum (Venafro);;41.484488;14.046066;True;True;13;537717;-149.5;-1;[224153];[224152];1;contero;1;0;[224152];0
503970;476;509;1;503970;11;venerem;venerem;OBJ;503972;1738682.0;14171a;14171;12.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;Venus (love);PROPER;THEONYM;Venus;Venerem;-;uenerem;uenerem;Alei in Venerieis [rebus vitam conterunt] / mihei contra ri[te partam Venerem mors rapit(?)];;CIL X 5019;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-199.0;-100.0;Venafrum (Venafro);;41.484488;14.046066;True;True;13;537717;-149.5;-1;[503972];[503970];1;rapio;1;0;[503970];0
