;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Verb_or_not;Main_clause;Order;Check
165279;5;6;2;165279;6;einom;einom;ADV;165277;1464611.0;-;-;1003.0;Latin;-;noun;-;-;-;-;-;singular;M/N;ACC;-;n-s---ma-;M-acc-sg;-;-;-;-;-;-;-;-;Duenos med decet en manom einom dzenoi;;CIL I² 4;Duenos inscription;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-625.0;-575.0;Rome;;41.9097374;11.976887;True;True;28;568865;-600.0;-6;[165276];[165279];2;facio;verb;1;1;[165279]
178183;16;20;1;178183;3;do]no(m);donom;ADV;178182;1465377.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donom;H]ercle dedero / [--- do]no(m);;CIL I² 2659;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-425.0;-350.0;Lago di Albano;;41.7479773;12.6689577;True;True;5;249984;-387.5;-3;[178182];[178183];1;do;verb;1;1;[178183]
238785;23;29;2;238785;4;romai;romai;ADV;238786;1465079.0;13631a;13631;33.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;LOC;-;n-s---f--;F-sg;Rome;PROPER;TOPONYM;Roma;Romae;-;romae;romai;Novios Plautios med Romai fecid;;CIL XIV 4112;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-350.0;-325.0;Praeneste (Palestrina);;41.8279573;12.8796689;True;True;9;257881;-337.5;-3;[238786];[238785];1;facio;verb;1;0;[238785]
213804;86;93;1;213804;3;loucarid;loucarid;ADV;213802;1466252.0;12912a;12912;10.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;ABL;-;n-s---mb-;M-abl-sg;sacred grove;RELIGION;-;lucus;luco;-;lu-co---;loucarid;In hoce loucarid stircus / ne [qu]is fundatid neve cadaver / proiecita(ti)d neve parentatid / sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod seive / mag[i]steratus volet moltare / [li]cetod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;[213811, 213813, 213808];[213804];2;proicio;verb;1;0;[213804]
213817;86;94;2;213817;4;hac;hac;ADV;213816;1468599.0;12687a;12687;385.0;Latin;IRR;pronoun;-;-;-;-;-;plural;N;ACC;-;p-p---na-;N-acc-pl;this;-;-;hic;haec;-;haec;ha-c;sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;[213818];[213817];1;facio;verb;0;0;[213817]
236993;88;97;1;236993;5;gratia;gratia;ADV;236999;1464986.0;12651a;12651;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ABL;-;n-s---fb-;F-abl-sg;favor;-;-;gratia;gratia;-;gratia;gratia;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;[236999];[236993];2;do;verb;1;0;[236993]
236998;88;97;1;236998;10;donom;donom;ADV;236999;1465383.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donom;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;[236999];[236998];1;do;verb;1;0;[236998]
231636;125;136;1;231636;5;dono;dono;ADV;231637;1465367.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;dono-;Iunone Reg(inae) / Matrona / Pisaure(n)se(s) / dono ded(e)ro(n)t;;CIL XI 6300;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Pisaurum (Pesaro);;43.8998146;12.8944958;True;True;6;287711;-250.5;-2;[231637];[231636];1;do;verb;1;0;[231636]
163376;130;141;1;163376;10;aere;aere;ADV;163375;1465765.0;11785a;11785;12.0;Latin;C-stem;noun;-;-;-;-;-;singular;N;ABL;-;n-s---nb-;N-abl-sg;bronze;MATERIAL;-;aes;aere;-;aere;aere;L(ucius) Macil[ius 1 f(ilius)] / L(ucius) Fahidi[us 1 f(ilius)] / aediles d[uoviri] / dedere aere / moltatic[io] //;;EDCS 23800756;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Cubulteria (Alvignano);;40.848823;14.053997;True;True;15;254260;-250.0;-2;[163375];[163376];2;do;verb;1;1;[163376]
237158;132;144;1;237158;7;donu(m);donum;ADV;237159;1465404.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;VOC;-;n-s---nv-;N-voc-sg;gift;-;-;donum;donum;-;donum;donum;Q(uintus) K(aeso) Cestio(s) Q(uinti) f(ilius) / Hercole donu(m) / [d]edero;;CIL XIV 2891;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.879645;True;True;8;255969;-250.0;-2;[237159];[237158];1;do;verb;1;0;[237158]
237166;133;145;1;237166;7;dono(m);donom;ADV;237167;1465380.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donom;L(ucius) Gemenio(s) L(uci) f(ilius) Pelt(uino?) / Hercole dono(m) / dat lub(en)s mer(i)tod / pro sed sueq(ue) /;;CIL XIV 2892;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.8796451;True;True;18;256970;-250.0;-2;[237167];[237166];1;do;verb;1;0;[237166]
237171;133;145;1;237171;12;sed;sed;ADV_CO;314638;1468609.0;13734a;13734;50.0;Latin;IRR;pronoun;-;-;-;-;-;singular;M;ABL;-;p-s---mb-;M-abl-sg;himself;-;-;se;se;-;se-;sed;L(ucius) Gemenio(s) L(uci) f(ilius) Pelt(uino?) / Hercole dono(m) / dat lub(en)s mer(i)tod / pro sed sueq(ue) /;;CIL XIV 2892;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-275.0;-225.0;Praeneste (Palestrina);;41.8279573;12.8796451;True;True;18;256970;-250.0;-2;[237167];[237171, 237172];2;do;verb;1;1;[237171, 237172]
198887;138;151;1;198887;6;hinnad;hinnad;ADV;198888;1465133.0;12453a;12453;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;M;ABL;-;n-s---mb-;M-abl-sg;Enna;PROPER;TOPONYM;Enna;Enna;-;-enna-;hinnad;M(arcus) Claudius M(arci) f(ilius) / consol / Hinnad cepit;;CIL VI 1281;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-211.0;-211.0;Rome;;41.9097374;11.9768892;True;True;7;274687;-211.0;-2;[198888];[198887];1;capio;verb;1;0;[198887]
160774;145;158;1;160774;5;donum;donum;ADV;160775;1465398.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donum;C[---]na C(ai) f(ilia) Feroneae / donum dat lubens / merito;;EDCS 08300275;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947072;True;True;8;248045;-212.5;-2;[160775];[160774];1;do;verb;1;0;[160774]
161417;147;160;1;161417;7;donom;donom;ADV;161418;1465376.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;donom;[Ma]tre Ma/g(nae) // [Ti]ta Varia T(iti) f(ilia) / donom / de[d]et;;EDCS 02700267;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Rome;;41.9097374;11.9768859;True;True;8;272859;-212.5;-2;[161418];[161417];1;do;verb;1;0;[161417]
161961;148;161;1;161961;1;dono;dono;ADV;161962;1465362.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;dono-;] / dono ded[;;EDCS 29900341;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-225.0;-200.0;Norba (Norma);;41.5868235;12.9739917;True;True;2;521419;-212.5;-2;[161962];[161961];1;do;verb;1;0;[161961]
180112;200;213;1;180112;5;domod;domod;ADV_CO;515081;1468115.0;12424a;12424;3.0;Latin;IRR;noun;-;-;-;-;-;singular;F;ABL;-;n-s---fb-;F-abl-sg;house;BUILDING;-;domus;domo;-;domo-;domod;fili]eisqu[e ---] / [d]ederont [pro] / domod fa[miliad] / sovad quis[que] / leibereique [;;CIL I² 2839;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-200.0;Rome;;41.9097374;11.9768878;True;True;10;263913;-249.5;-2;[180110];[180112, 180113];3;do;verb;1;1;[180112, 180113]
180185;205;218;1;180185;7;don(o);dono;ADV;180189;1465374.0;12427a;12427;106.0;Latin;O-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;gift;-;-;donum;donum;-;donum;dono-;Pesco Sal(via) / Plaria T(iti) l(iberta) / Fero(niae) don(o) // [Q]uod a[f luc(o)] / dedet libe(n)s / m(erente) mereto;;CIL I² 2867;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947074;True;True;14;248032;-225.0;-2;[180189];[180185];1;do;verb;1;0;[180185]
180188;205;218;1;180188;10;luc(o)];luco;ADV;180187;1466258.0;12912a;12912;10.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;ABL;-;n-s---mb-;M-abl-sg;sacred grove;RELIGION;-;Lucus;luco;-;luco;luco;Pesco Sal(via) / Plaria T(iti) l(iberta) / Fero(niae) don(o) // [Q]uod a[f luc(o)] / dedet libe(n)s / m(erente) mereto;;CIL I² 2867;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-250.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947074;True;True;14;248032;-225.0;-2;[180189];[180188];1;do;verb;1;0;[180188]
180201;207;220;1;180201;4;luc(o);luco;ADV;180200;1466256.0;12912a;12912;10.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;sacred grove;RELIGION;-;lucus;luco;-;luco;luco;]no(s) / [Feroniae] af luc(o) / [dedet] mere(to);;EDCS 26200368;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-200.0;Lucus Feroniae (Santa Marta);;42.129745;12.5947076;True;True;6;247645;-249.5;-2;[180202];[180201];1;do;verb;1;0;[180201]
