;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
165256;2;2;1;165256;4;numasioi;numasioi;OBJ;165254;1467735.0;13184a;13184;65.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Numerius;PROPER;PERSONAL;Numerius;Numerio;-;numerio-;numasioi;Manios med fhefhaked Numasioi;;CIL XIV 4123;Fibula Praenestina;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-675.0;-625.0;Praeneste (Palestrina);;41.8279573;12.879636;True;True;4;256173;-650.0;-6;[165254];[165256];1;facio;1;1;[165256];0
165280;5;6;2;165280;7;duenoi;duenoi;OBJ;165276;1464263.0;12044a;12044;29.0;Latin;O-stem;adjective;-;-;-;-;-;singular;M;DAT;-;a-s---md-;M-dat-sg;good;-;-;bonus;bono;-;bo-no-;duenoi;Duenos med decet en manom einom dzenoi;;CIL I² 4;Duenos inscription;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-625.0;-575.0;Rome;;41.9097374;11.976887;True;True;28;568865;-600.0;-6;[165276];[165280];1;facio;1;1;[165280];0
180105;9;12;1;180105;6;mamartei;mamartei;OBJ;180101;1465996.0;12991a;12991;10.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Mars;PROPER;THEONYM;Mars;Marti;-;ma--rti-;mamartei;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;[180101];[180105];1;sto;1;1;[180105];0
178181;16;20;1;178181;1;h]ercle;hercle;OBJ;178182;1465807.0;12670a;12670;50.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Hercules;PROPER;THEONYM;Hercules;Herculi;-;herculi;herc-le;H]ercle dedero / [--- do]no(m);;CIL I² 2659;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-425.0;-350.0;Lago di Albano;;41.7479773;12.6689577;True;True;5;249984;-387.5;-3;[178182];[178181];1;do;1;0;[178181];0
238780;23;28;1;238780;3;fileai;fileai;OBJ;238781;1464760.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;daughter;RELATION;-;filia;filiae;-;filiae;fileai;Dindia Macolnia fileai dedit /;;CIL XIV 4112;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-350.0;-325.0;Praeneste (Palestrina);;41.8279573;12.8796689;True;True;9;257881;-337.5;-3;[238781];[238780];1;do;1;0;[238780];0
180268;44;50;1;180268;1;c(e)rere;cerere;OBJ;180271;1465846.0;12174a;12174;7.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Ceres;PROPER;THEONYM;Ceres;Cereri;-;cereri;cerere;C(e)rere L(ucius) Tolonio(s) d(edit);;EDCS 15000076;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-275.0;Veii;;42.023907;12.3991884;True;True;4;247635;-287.0;-2;[180271];[180268];1;do;1;0;[180268];0
180275;45;51;1;180275;4;menerva;menerva;OBJ;180274;1465255.0;13062a;13062;14.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Minerva;PROPER;THEONYM;Minerva;Minervae;-;mineruae;menerua-;L(ucius) Tolonio(s) ded(it) Menerva;;EDCS 14300118;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-275.0;Veii;;42.023907;12.3991884;True;True;4;247634;-287.0;-2;[180274];[180275];1;do;1;1;[180275];0
238715;49;56;2;238715;1;iunio;iunio;OBJ;238718;1467655.0;12783a;12783;21.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Iunius;PROPER;PERSONAL;Iunius;Iunio;-;iunio;iunio;Menio / Casia Acila / Ceisia Loucilia cata ret(tulit) Iunio Setio atos ret(tulit);;CIL XIV 4104;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-325.0;-275.0;Praeneste (Palestrina);;41.8279573;12.8796682;True;True;11;257885;-300.0;-3;[238718];[238715];2;refero;1;0;[238715];0
236994;88;97;1;236994;6;fortuna;fortuna;OBJ;236999;1465175.0;12567a;12567;28.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Fortune;PROPER;THEONYM;Fortuna;Fortunae;-;fortunae;fortuna-;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;[236999];[236994];3;do;1;0;[236994];0
205837;124;135;1;205837;7;hercole;hercole;OBJ;205836;1465811.0;12670a;12670;50.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;DAT;-;n-s---md-;M-dat-sg;Hercules;PROPER;THEONYM;Hercules;Herculi;-;herculi;hercole;M(arcus) C(aius) Pomplio(s) No(ni) f(ilii) / dedron / Hercole;;CIL VI 30898;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-270.0;-231.0;Rome;;41.9097374;11.9768915;True;True;7;280895;-250.5;-2;[205836];[205837];1;do;1;1;[205837];0
