;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Text_ID_head;Sentence_ID_head;Sentence_position_head;Token_ID_head;Token_position_head;Token_head;Token_clean_head;Relation_head;Head_head;Analysis_ID_head;Lemma_head;Lemma_simplex_head;Lemma_frequency_head;Language_head;Morphological_type_head;Part_of_speech_head;Stem_head;Tense_head;Mood_head;Diathesis_head;Person_head;Number_head;Gender_head;Case_head;Category_head;POS_head;Tags_head;Meaning_head;Meaning_category_head;Meaning_subcategory_head;Classical_Latin_equivalent_head;Classical_Latin_Form_head;TAM_analysis_head;Standard_aligned_head;Form_aligned_head;Sentence_head;Section_head;Reference_head;Name_head;Language_(text)_head;Language_family_head;Language_variety_head;Script_head;Date_after_head;Date_before_head;Provenance_head;GeoID_head;Latitude_head;Longitude_head;Finite_verb_head;Analysable_token_head;Text_length_head;Trismegistos_ID_head;Date_head;Century_head;Order
180102;9;12;1;180102;3;popliosio;popliosio;ATR;180104;1467477.0;13447a;13447;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Poplius;PROPER;PERSONAL;Poplius;Popli;-;popl---i-;popliosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;9;12;1;180104;5;suodales;suodales;SBJ;180101;1465859.0;13832a;13832;4.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;NOM;-;n-p---mn-;M-nom-pl;companion;HUMAN;-;sodalis;sodales;-;so-dales;suodales;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;0
180103;9;12;1;180103;4;valesiosio;valesiosio;ATR;180102;1467732.0;14112a;14112;14.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Valerius;PROPER;PERSONAL;Valerius;Valeri;-;ualer---i-;ualesiosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;9;12;1;180102;3;popliosio;popliosio;ATR;180104;1467477.0;13447a;13447;1.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Poplius;PROPER;PERSONAL;Poplius;Popli;-;popl---i-;popliosio;[......]̣iei steterai popliosio ualesiosio / suodales mamartei;;EDCS 24700256;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-520.0;-500.0;Satricum (Le Ferriere);;41.519633;12.746396;True;True;6;251070;-510.0;-5;1
210623;58;65;1;210623;3;q(uinti);quinti;ATR;210624;1468352.0;13578a;13578;138.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Quintus;PROPER;PERSONAL;Quintus;Quinti;-;quinti;quinti;M(arcus) Folv[io(s) Q(uinti) f(ilius) co(n)s]ol [dede]d Volsi[niis] cap[tis];;CIL I² 2836 I;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-264.0;Rome;;41.9097374;11.9768924;True;True;8;264162;-264.0;-2;58;65;1;210624;4;f(ilius);filius;APOS;210621;1467298.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;M(arcus) Folv[io(s) Q(uinti) f(ilius) co(n)s]ol [dede]d Volsi[niis] cap[tis];;CIL I² 2836 I;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-264.0;Rome;;41.9097374;11.9768924;True;True;8;264162;-264.0;-2;0
213819;86;94;2;213819;6;[ceiv]ium;ceivium;ATR;213815;1465934.0;12208a;12208;36.0;Latin;C-stem;noun;-;-;-;-;-;plural;M;GEN;-;n-p---mg-;M-gen-pl;citizen;HUMAN;-;civis;civium;-;ciuiu-m;ceiuium;sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;86;94;2;213815;2;quis;quis;SBJ;213818;1469606.0;13579a;13579;91.0;Latin;E-stem;pronoun;-;-;-;-;-;singular;M;NOM;-;p-s---mn-;M-nom-sg;anyone;-;-;quis;quis;-;quis;quis;sei quis arvorsu(m) hac faxit [ceiv]ium / quis volet pro ioudicatod n(ummum) i / manum iniect(i)o estod;;CIL IX 782;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-314.0;-250.0;Luceria (Lucera);;41.5;15.333333;True;True;32;513924;-282.0;-2;1
236990;88;97;1;236990;2;numeri;numeri;ATR;236991;1467750.0;13184a;13184;65.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Numerius;PROPER;PERSONAL;Numerius;Numeri;-;numeri;numeri;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236991;3;[uxor];uxor;APOS;236989;1465730.0;14106a;14106;29.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;NOM;-;n-s---fn-;F-nom-sg;wife;RELATION;-;uxor;uxor;-;uxor;uxor;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
236992;88;97;1;236992;4;nationu(s);nationus;ATR;236993;1465473.0;13129a;13129;3.0;Latin;C-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;birth;-;-;natio;nationis;-;nationis;nationus;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236993;5;gratia;gratia;ADV;236999;1464986.0;12651a;12651;1.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;ABL;-;n-s---fb-;F-abl-sg;favor;-;-;gratia;gratia;-;gratia;gratia;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
236995;88;97;1;236995;7;diovo;diovo;ATR;236996;1465574.0;12785a;12785;29.0;Latin;C-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Jupiter;PROPER;THEONYM;Iuppiter;Iovis;-;-iouis;diouo-;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;88;97;1;236996;8;fileia;fileia;APOS;236994;1464761.0;12536a;12536;114.0;Latin;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;daughter;RELATION;-;filia;filiae;-;filiae;fileia;Orcevia Numeri [uxor] / nationu(s) gratia / Fortuna Diovo fileia / Primogenia / donom dedi;;CIL XIV 2863;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-299.0;-250.0;Praeneste (Palestrina);;41.8279573;12.8796449;True;True;11;256363;-274.5;-2;0
251264;111;120;1;251264;3;l(uci);luci;ATR;251265;1466753.0;12908a;12908;534.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Lucius;PROPER;PERSONAL;Lucius;Luci;-;luci;luci;M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt) /;;EDCS 59100080;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Aegates Insulae;;37.9590151;12.2320965;True;True;10;674854;-252.5;-2;111;120;1;251265;4;f(ilius);filius;APOS;251262;1467316.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt) /;;EDCS 59100080;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Aegates Insulae;;37.9590151;12.2320965;True;True;10;674854;-252.5;-2;0
251284;112;122;1;251284;3;c(ai);cai;ATR;251285;1466426.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100075;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698149;-252.5;-2;112;122;1;251285;4;f(ilius);filius;APOS;251282;1467272.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100075;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698149;-252.5;-2;0
251290;113;123;1;251290;3;c(ai);cai;ATR;251291;1466427.0;12603a;12603;624.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;Gaius;PROPER;PERSONAL;Gaius;Gai;-;gai;cai;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100076;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698150;-252.5;-2;113;123;1;251291;4;f(ilius);filius;APOS;251288;1467273.0;12537a;12537;839.0;Latin;O-stem;noun;-;-;-;-;-;singular;M;NOM;-;n-s---mn-;M-nom-sg;son;RELATION;-;filius;filius;-;filius;filius;L(ucius) Quinctio(s) C(ai) f(ilius) quaistor probavet;;EDCS 68100076;;Latin;Indo-European::Italic::Latino-Sabellic;Latin;Latin;-264.0;-241.0;Phorbantia (Levanzo);;38.0028863;12.3363367;True;True;6;698150;-252.5;-2;0
