;pair;regular;vowel-weighted;italic
0;French Flemish ~ West Flemish;0.152;0.1111;0
1;Afrikaans ~ Dutch;0.2442;0.21;0
2;Brabantic ~ French Flemish;0.3487;0.2362;0
3;Umbrian ~ Oscan;0.2653;0.2456;1
4;Afrikaans ~ French Flemish;0.3449;0.2725;0
5;West Flemish ~ Limburgish;0.4215;0.3213;0
6;German ~ Dutch;0.3984;0.3309;0
7;Oscan ~ Latin;0.4676;0.394;1
8;Dutch ~ Upper Saxon;0.5102;0.4097;0
9;English ~ Dutch;0.5061;0.4401;0
10;Dutch ~ Danish;0.5709;0.4773;0
11;Umbrian ~ Latin;0.555;0.4929;1
12;Dutch ~ Icelandic;0.6358;0.5777;0
13;English ~ French;0.8056;0.7477;0
