;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Text_ID_head;Sentence_ID_head;Sentence_position_head;Token_ID_head;Token_position_head;Token_head;Token_clean_head;Relation_head;Head_head;Analysis_ID_head;Lemma_head;Lemma_simplex_head;Lemma_frequency_head;Language_head;Morphological_type_head;Part_of_speech_head;Stem_head;Tense_head;Mood_head;Diathesis_head;Person_head;Number_head;Gender_head;Case_head;Category_head;POS_head;Tags_head;Meaning_head;Meaning_category_head;Meaning_subcategory_head;Classical_Latin_equivalent_head;Classical_Latin_Form_head;TAM_analysis_head;Standard_aligned_head;Form_aligned_head;Sentence_head;Section_head;Reference_head;Name_head;Language_(text)_head;Language_family_head;Language_variety_head;Script_head;Date_after_head;Date_before_head;Provenance_head;GeoID_head;Latitude_head;Longitude_head;Finite_verb_head;Analysable_token_head;Text_length_head;Trismegistos_ID_head;Date_head;Century_head;Order;Semantics
142316;2091;3035;1;142316;4;θotorridas;thotorridas;ATR;142315;1265026;15175a;15175;4;Messapic;A-stem;adjective;-;-;-;-;-;singular;F;GEN;-;a-s---fg-;F-gen-sg;of Tautor;PROPER;THEONYM;Tautorius;Tautoriae;-;-;-;klohi zis aviθos θotorridas ana aprodita apa ogrebis;;1 Ga (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-299;-200;Galatina;;40.166667;18.166667;True;True;8;143587;-249.5;-2;2091;3035;1;142315;3;aviθos;avithos;OBJ;142313;1264928;14769a;14769;3;Messapic;A-stem;noun;-;-;-;-;-;singular;F;GEN;-;n-s---fg-;F-gen-sg;-;PROPER;PERSONAL;-;-;-;-;-;klohi zis aviθos θotorridas ana aprodita apa ogrebis;;1 Ga (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-299;-200;Galatina;;40.166667;18.166667;True;True;8;143587;-249.5;-2;1;proper name
142758;2339;3320;1;142758;7;vinaihi?];vinaihi;ATR;142755;1265036;15217a;15217;9;Messapic;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;own;POSSESSIVE;-;suus;sui;-;-;-;dazos ka[---]ae aviθes bride[---] daos api[stanθi vinaihi?];;12 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;7;143971;-300;-3;2339;3320;1;142755;5;daos;daos;ADV;142757;1265094;14825a;14825;10;Messapic;AS-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;property;ECONOMY;-;res;rei;-;-;-;dazos ka[---]ae aviθes bride[---] daos api[stanθi vinaihi?];;12 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;7;143971;-300;-3;1;possession
142776;2341;3322;1;142776;6;vina[ihi?];vinaihi;ATR;142774;1265037;15217a;15217;9;Messapic;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;own;POSSESSIVE;-;suus;sui;-;-;-;θaotora[---]as θaotori deos apistaθi vina[ihi?] nai s̆enta ligaves;;14 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;9;143973;-300;-3;2341;3322;1;142774;4;deos;deos;ADV;142775;1265096;14825a;14825;10;Messapic;AS-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;property;ECONOMY;-;res;rei;-;-;-;θaotora[---]as θaotori deos apistaθi vina[ihi?] nai s̆enta ligaves;;14 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;9;143973;-300;-3;1;possession
142802;2345;3327;1;142802;3;vinahi;vinahi;ATR;142800;1265038;15217a;15217;9;Messapic;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;own;POSSESSIVE;-;suus;sui;-;-;-;] daos asē[.]sta vinahi [---] niligaves;;18 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;4;143977;-300;-3;2345;3327;1;142800;1;daos;daos;ADV;142803;1265097;14825a;14825;10;Messapic;AS-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;property;ECONOMY;-;res;rei;-;-;-;] daos asē[.]sta vinahi [---] niligaves;;18 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;4;143977;-300;-3;1;possession
142856;2351;3333;1;142856;3;vinai;vinai;ATR;142854;1265039;15217a;15217;9;Messapic;O-stem;adjective;-;-;-;-;-;singular;M;GEN;-;a-s---mg-;M-gen-sg;own;POSSESSIVE;-;suus;sui;-;-;-;]deos apeiistaθi vinai;;24 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;3;143983;-300;-3;2351;3333;1;142854;1;]deos;deos;ADV;142855;1265099;14825a;14825;10;Messapic;AS-stem;noun;-;-;-;-;-;singular;M;GEN;-;n-s---mg-;M-gen-sg;property;ECONOMY;-;res;rei;-;-;-;]deos apeiistaθi vinai;;24 Ro (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-599;-1;Roca Vecchia;;40.2875;18.426389;True;True;3;143983;-300;-3;1;possession
142951;2211;3172;1;142951;6;gunakēai;gunakeai;ATR;142949;1264922;14901a;14901;1;Messapic;-;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;wife;RELATION;-;uxor;uxori;-;-;-;artos atotios tai θoi tai gunakēai pensklen aupave;;12 Ruv (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-299;-200;Rubi (Ruvo di Puglia);;41.116667;16.483333;True;True;8;143805;-249.5;-2;2211;3172;1;142949;4;θoi;thoi;OBJ;142953;1265587;15163a;15163;1;Messapic;O-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;-;PROPER;PERSONAL;-;-;-;-;-;artos atotios tai θoi tai gunakēai pensklen aupave;;12 Ruv (Monumenta linguae Messapicae);;Messapic;Indo-European::Balkan;Messapic;Messapic;-299;-200;Rubi (Ruvo di Puglia);;41.116667;16.483333;True;True;8;143805;-249.5;-2;1;proper name
143352;2378;3361;1;143352;9;[vo].l.tiio;voltiio;ATR;143353;1470266;14693a;14693;6;Venetic;O-stem;adjective;-;-;-;-;-;singular;N;INS;-;a-s---n--;N-sg;willingly;-;-;volens;voluntario;-;-;-;[vda.]n[.] vo.l.t[iio.n.]mno.s. [do]na.s.to ke la.g.[s./to śa.i.]nate.i. re.i.tiia.i. o.p [vo].l.tiio len[o];;12A (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;10;218086;-300;-3;2378;3361;1;143353;10;len[o];leno;ADV;143351;1470749;14528a;14528;3;Venetic;O-stem;noun;-;-;-;-;-;singular;N;INS;-;n-s---n--;N-sg;volontary act;-;-;-;-;-;-;-;[vda.]n[.] vo.l.t[iio.n.]mno.s. [do]na.s.to ke la.g.[s./to śa.i.]nate.i. re.i.tiia.i. o.p [vo].l.tiio len[o];;12A (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;10;218086;-300;-3;0;other
143370;2381;3364;1;143370;7;vo.l.t/[iio;voltiio;ATR;143371;1470269;14693a;14693;6;Venetic;O-stem;adjective;-;-;-;-;-;singular;N;INS;-;a-s---n--;N-sg;willingly;-;-;volens;voluntario;-;-;-;vda.n. dona.s[.to] vhrema vh/[r]ema.i.s.t[-- re.i].tiia.i. o.p vo.l.t/[iio leno];;14 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;8;218087;-300;-3;2381;3364;1;143371;8;leno];leno;ADV;143369;1470751;14528a;14528;3;Venetic;O-stem;noun;-;-;-;-;-;singular;N;INS;-;n-s---n--;N-sg;volontary act;-;-;-;-;-;-;-;vda.n. dona.s[.to] vhrema vh/[r]ema.i.s.t[-- re.i].tiia.i. o.p vo.l.t/[iio leno];;14 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;8;218087;-300;-3;0;other
143434;2396;3379;1;143434;8;vo.l.tiio;voltiio;ATR;143435;1470268;14693a;14693;6;Venetic;O-stem;adjective;-;-;-;-;-;singular;N;INS;-;a-s---n--;N-sg;willingly;-;-;volens;voluntario;-;-;-;mego doto vhu.g.siia votna śa.i.n/ate.i. re.i.tiia.i. o.p vo.l.tiio leno;;25 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;9;218109;-300;-3;2396;3379;1;143435;9;leno;leno;ADV;143433;1470750;14528a;14528;3;Venetic;O-stem;noun;-;-;-;-;-;singular;N;INS;-;n-s---n--;N-sg;volontary act;-;-;-;-;-;-;-;mego doto vhu.g.siia votna śa.i.n/ate.i. re.i.tiia.i. o.p vo.l.tiio leno;;25 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;9;218109;-300;-3;0;other
143440;2397;3380;1;143440;5;pora.i.;porai;ATR;143439;1470196;14603a;14603;4;Venetic;A-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Pora;PROPER;THEONYM;Pora;Porae;-;-;-;mego dona.s.to śa.i./nate.i. re.i.tiia.i. pora.i. / .e.getora .r.i.mo.i. ke lo/.u.derobo.s.;;26 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;9;218110;-300;-3;2397;3380;1;143439;4;re.i.tiia.i.;reitiiai;ATR;143438;1470539;14612a;14612;32;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego dona.s.to śa.i./nate.i. re.i.tiia.i. pora.i. / .e.getora .r.i.mo.i. ke lo/.u.derobo.s.;;26 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599;-1;Ateste (Este);;45.2224171;11.5898338;True;True;9;218110;-300;-3;1;proper name
