Order;Language;Strategy;Latitude;Longitude;Source;;;
1;Palaic;post;41.33;33.5;;;;
2;Hittite;post;40;35;;;;
3;Luwian;post;40.02;34.62;;;;
4;Lycian;both;36.52;29.76;;;;
6;Carian;both;37.2;28.18;;;;
7;Avestan;both;34.22;62.11;;;;
8;Old Persian;both;32;54;;;;
9;Mycenaean;post;37.73;22.82;;;;
10;Greek;both;39.82;21.91;;;;
11;Latin;both;41.9;12.45;;;;
12;Oscan;medial;40.98;15.67;;;;
13;Umbrian;medial;42.75;13.02;;;;
14;Coptic;medial;29.47;31.21;;;;
15;Proto-North-East Caucasian;post;43.5;45.5;;;;
16;Proto-North-West Caucasian;post;43.06;41.16;;;;
17;Gaulish;both;43.97;3.3;;;;
18;Punic;medial;36.53;10.36;;;;
19;Aramaic;medial;32.84;37;;;;
20;Akkadian;medial;33.1;44.1;;;;
21;Elamite;medial;31.18;48.23;;;;
22;Proto-Kartvelian;medial;41.85;43.79;;;;
23;Hurrian;post;40.73;43.32;;;;
24;Sumerian;post;31.3;45.67;;;;
25;Etruscan;post;43.22;11.38;;;;
26;Phrygian;both;39.61;31.28;;;;
27;Messapic;both;40.54;17.86;;;;
28;Venetic;both;45.6;12.06;;;;
29;Egyptian;medial;30.06;31.19;;;;
30;Hebrew;medial;31.78;35.17;Woodard;;;
31;Phoenician;medial;34.12;35.65;Woodard;;;
32;Ugaritic;medial;35.6;35.78;Woodard;;;
33;Ancient North Arabian;medial;29.04;39.78;Woodard;;;
34;Hattic;medial;40.4;34.6;https://www.academia.edu/38188563/The_verbal_syntax_of_Hattic_draft_;;;
35;Lydian;post;40.29;28.6;;;;
36;Middle Persian;medial;35.93;47.56;;;;
