order;trismegistos_id;ceipom_id;provenance;longitude;latitude;language;date_before;date_after
21548;145580;;Smindja;36.4531667;10.0224924;Etruscan;99;1
21552;153916;;Smindja;36.4531667;10.0224924;Etruscan;99;1
21553;153917;;Smindja;36.4531667;10.0224924;Etruscan;99;1
3053;145565;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-600;-625
3057;145569;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-400;-499
3058;145570;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-400;-499
11107;153854;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-550;-575
11114;153861;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-400;-499
11115;153862;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-400;-499
11119;153866;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-300;-499
11123;153870;;Regium (Reggio di Calabria);38.0978794;15.6716886;Etruscan;-400;-499
3092;145617;;Eburum (Eboli);40.6118452;15.0459218;Etruscan;-525;-550
11523;173882;;Eburum (Eboli);40.6118452;15.0459218;Etruscan;-475;-525
11540;173899;;Eburum (Eboli);40.6118452;15.0459218;Etruscan;-400;-499
2851;145336;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-575;-599
2854;145340;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
2855;145342;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-525
3093;145618;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
3105;145630;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-525
3106;145631;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-550;-599
3151;145679;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-400;-499
3152;145680;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-400;-499
3161;145689;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-375;-425
3162;145690;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-375;-425
3164;145692;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-300;-499
3165;145693;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-325;-375
3166;145694;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-300;-350
3167;145695;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-300;-350
3175;145705;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-300;-399
11511;173870;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-550;-599
11513;173872;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-525;-550
11516;173875;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
11521;173880;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-525
11524;173883;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-525
11528;173887;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-450;-525
11529;173888;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-499
11530;173889;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-499
11535;173894;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-425;-475
11536;173895;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-425;-475
11537;173896;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-425;-475
11538;173897;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-425;-475
11541;173900;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-400;-450
11542;173901;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-375;-425
11543;173902;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-375;-399
11544;173903;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-375;-399
11545;173904;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-350;-375
11548;173907;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
11550;173909;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-525
11554;173913;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-400;-425
11555;173914;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-625;-650
11558;173917;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
11559;173918;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-525
11560;173919;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-200;-250
11562;173921;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-625;-650
11566;173926;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-500;-550
11568;173928;;Picentia (Pontecagnano);40.6391519;14.8884482;Etruscan;-475;-525
