order;id;name;field;latin;selection;distance_from_hearth;dfh_comment;latin_source;latin_score;sabellic;sabellic_source;sabellic_score
1;1#1;the world;The physical world;orbis (terrae);nonspecific;1;natural features and phenomena are outside the home;Latin;0;;;
2;1#21;the land;The physical world;terra;selection;1;natural features and phenomena are outside the home;Latin;0;;;
3;1#212;the soil;The physical world;solum;selection;0;universal phenomena;Latin;0;;;
4;1#213;the dust;The physical world;pulvis;selection;0;universal phenomena;Latin;0;;;
5;1#214;the mud;The physical world;lutum;selection;0;universal phenomena;Latin;0;;;
6;1#215;the sand;The physical world;sabulum;selection;0;universal phenomena;substrate;0.25;;;
7;1#22;the mountain or hill;The physical world;mons;selection;1;natural features and phenomena are outside the home;Latin;0;;;
8;1#222;the cliff or precipice;The physical world;rupes praerupta;selection;1;natural features and phenomena are outside the home;Latin;0;;;
9;1#23;the plain;The physical world;campus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
10;1#24;the valley;The physical world;vallis;selection;1;natural features and phenomena are outside the home;Latin;0;;;
11;1#25;the island;The physical world;insula;selection;1;natural features and phenomena are outside the home;substrate;0.5;;;
12;1#26;the mainland;The physical world;continens terra;compound;1;natural features and phenomena are outside the home;;;;;
13;1#27;the shore;The physical world;litus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
14;1#28;the cave;The physical world;specus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
15;1#31;the water;The physical world;aqua;selection;0;universal;Latin;0;aapas;Sabellic;0
16;1#32;the sea;The physical world;mare;selection;1;natural features and phenomena are outside the home;Latin;0;;;
17;1#322;calm;The physical world;tranquillus;selection;0;adjectival concepts are universal;Latin;0;;;
18;1#323;rough(2);The physical world;horridus;selection;0;adjectival concepts are universal;Latin;0;;;
19;1#324;the foam;The physical world;spuma;selection;1;natural features and phenomena are outside the home;Latin;0;;;
20;1#329;the ocean;The physical world;oceanus;selection;1;natural features and phenomena are outside the home;Greek;1;;;
21;1#33;the lake;The physical world;lacus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
22;1#34;the bay;The physical world;sinus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
23;1#341;the lagoon;The physical world;lacuna;nonspecific;1;natural features and phenomena are outside the home;Latin;0;;;
24;1#342;the reef;The physical world;taenia;nonspecific;1;natural features and phenomena are outside the home;Greek;1;;;
25;1#343;the cape;The physical world;promontorium;selection;1;natural features and phenomena are outside the home;Latin;0;;;
26;1#35;the wave;The physical world;unda;selection;1;natural features and phenomena are outside the home;Latin;0;;;
27;1#352;the tide;The physical world;aestus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
28;1#353;the low tide;The physical world;exortus aestus;compound;1;natural features and phenomena are outside the home;;;;;
29;1#354;the high tide;The physical world;minuens aestus;compound;1;natural features and phenomena are outside the home;;;;;
30;1#36;the river or stream;The physical world;flumen;selection;1;natural features and phenomena are outside the home;Latin;0;;;
31;1#362;the whirlpool;The physical world;vortex;selection;1;natural features and phenomena are outside the home;Latin;0;;;
32;1#37;the spring or well;The physical world;fons;selection;0;likely present in or near home?;Latin;0;bia;Sabellic;0
33;1#38;the swamp;The physical world;palus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
34;1#39;the waterfall;The physical world;deiectus aquae;compound;1;natural features and phenomena are outside the home;;;;;
35;1#41;the woods or forest;The physical world;silva;selection;1;natural features and phenomena are outside the home;Latin;0;;;
36;1#411;the savanna;The physical world;;anachronism;1;natural features and phenomena are outside the home;;;;;
37;1#43;the wood;The physical world;lignum;selection;1;natural features and phenomena are outside the home;Latin;0;;;
38;1#44;the stone or rock;The physical world;lapis;selection;0;common materials;substrate;0.75;koram;Sabellic;0
39;1#45;the earthquake;The physical world;terrae motus;compound;1;natural features and phenomena are outside the home;;;;;
40;1#51;the sky;The physical world;caelum;selection;1;natural features and phenomena are outside the home;Latin;0;;;
41;1#52;the sun;The physical world;sol;selection;1;natural features and phenomena are outside the home;Latin;0;;;
42;1#53;the moon;The physical world;luna;selection;1;natural features and phenomena are outside the home;Latin;0;;;
43;1#54;the star;The physical world;stella;selection;1;natural features and phenomena are outside the home;Latin;0;;;
44;1#55;the lightning;The physical world;fulgur;selection;1;natural features and phenomena are outside the home;Latin;0;;;
45;1#56;the thunder;The physical world;tonitrus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
46;1#57;the bolt of lightning;The physical world;fulmen;selection;1;natural features and phenomena are outside the home;Latin;0;;;
47;1#58;the storm;The physical world;tempestas;selection;1;natural features and phenomena are outside the home;Latin;0;;;
48;1#59;the rainbow;The physical world;arcus (pluvius);nonspecific;1;natural features and phenomena are outside the home;;;;;
49;1#61;the light;The physical world;lux;selection;0;universal concepts;Latin;0;;;
50;1#62;the darkness;The physical world;tenebrae;selection;0;universal concepts;Latin;0;;;
51;1#63;the shade or shadow;The physical world;umbra;selection;0;universal concepts;Latin;0;;;
52;1#64;the dew;The physical world;ros;selection;0;universal phenomena;Latin;0;;;
53;1#71;the air;The physical world;aer;selection;1;natural features and phenomena are outside the home;Greek;1;;;
54;1#72;the wind;The physical world;ventus;selection;1;natural features and phenomena are outside the home;Latin;0;;;
55;1#73;the cloud;The physical world;nubes;selection;1;natural features and phenomena are outside the home;Latin;0;;;
56;1#74;the fog;The physical world;caligo;selection;1;natural features and phenomena are outside the home;Latin;0;;;
57;1#75;the rain;The physical world;pluvia;selection;1;natural features and phenomena are outside the home;Latin;0;;;
58;1#76;the snow;The physical world;nix;selection;1;natural features and phenomena are outside the home;Latin;0;;;
59;1#77;the ice;The physical world;glacies;selection;1;natural features and phenomena are outside the home;Latin;0;;;
60;1#771;the arctic lights;The physical world;;anachronism;1;natural features and phenomena are outside the home;;;;;
61;1#775;to freeze;The physical world;gelo;selection;0;verbal concepts are universal;Latin;0;;;
62;1#78;the weather;The physical world;tempestas;selection;1;natural features and phenomena are outside the home;Latin;0;;;
63;1#81;the fire;The physical world;ignis;selection;0;fire is universal;Latin;0;pir;Sabellic;0
64;1#82;the flame;The physical world;flamma;selection;0;fire is universal;Latin;0;;;
65;1#83;the smoke;The physical world;fumus;selection;0;fire is universal;Latin;0;;;
66;1#831;the steam;The physical world;aquae vapor;compound;0;fire is universal;;;;;
67;1#84;the ash;The physical world;cinis;selection;0;fire is universal;Latin;0;;;
68;1#841;the embers;The physical world;cinis;selection;0;fire is universal;Latin;0;;;
69;1#851;to burn(1);The physical world;uro;selection;0;fire is universal;Latin;0;asum;Sabellic;0
70;1#852;to burn(2);The physical world;ardeo;selection;0;fire is universal;Latin;0;;;
71;1#86;to light;The physical world;accendo;selection;0;fire is universal;Latin;0;;;
72;1#861;to extinguish;The physical world;exstinguo;selection;0;fire is universal;Latin;0;;;
73;1#87;the match;The physical world;;anachronism;;;;;;;
74;1#88;the firewood;The physical world;lignum;selection;0;fire is universal;Latin;0;;;
75;1#89;the charcoal;The physical world;carbo;selection;0;fire is universal;Latin;0;;;
76;2#1;the person;Kinship;homo;selection;0;human relationships are universal;Latin;0;homonus;Sabellic;0
77;2#21;the man;Kinship;vir;selection;0;human relationships are universal;Latin;0;nir;Sabellic;0
78;2#22;the woman;Kinship;mulier;selection;0;human relationships are universal;Latin;0;usurs;Sabellic;0
79;2#23;male(1);Kinship;masculus;selection;0;human relationships are universal;Latin;0;;;
80;2#24;female(1);Kinship;femina;selection;0;human relationships are universal;Latin;0;;;
81;2#25;the boy;Kinship;puer;selection;0;human relationships are universal;Latin;0;;;
82;2#251;the young man;Kinship;iuvenis;selection;0;human relationships are universal;Latin;0;;;
83;2#26;the girl;Kinship;puella;selection;0;human relationships are universal;Latin;0;;;
84;2#261;the young woman;Kinship;virgo;selection;0;human relationships are universal;Latin;0;;;
85;2#27;the child(1);Kinship;puer;selection;0;human relationships are universal;Latin;0;malaks;Sabellic;0
86;2#28;the baby;Kinship;infans;selection;0;human relationships are universal;Latin;0;;;
87;2#31;the husband;Kinship;maritus;selection;0;human relationships are universal;Latin;0;;;
88;2#32;the wife;Kinship;uxor;selection;0;human relationships are universal;Latin;0;;;
89;2#33;to marry;Kinship;nubo;selection;0;human relationships are universal;Latin;0;;;
90;2#34;the wedding;Kinship;dies nuptiarum;compound;0;human relationships are universal;;;;;
91;2#341;the divorce;Kinship;divortium;selection;0;human relationships are universal;Latin;0;;;
92;2#35;the father;Kinship;pater;selection;0;human relationships are universal;Latin;0;patereih;Sabellic;0
93;2#36;the mother;Kinship;mater;selection;0;human relationships are universal;Latin;0;matereih;Sabellic;0
94;2#37;the parents;Kinship;parentes;selection;0;human relationships are universal;Latin;0;;;
95;2#38;the married man;Kinship;;none;0;human relationships are universal;;;;;
96;2#39;the married woman;Kinship;matrona;nonspecific;0;human relationships are universal;;;;;
97;2#41;the son;Kinship;filius;selection;0;human relationships are universal;Latin;0;puqloh;Sabellic;0
98;2#42;the daughter;Kinship;filia;selection;0;human relationships are universal;Latin;0;futir;Sabellic;0
99;2#43;the child(2);Kinship;liberi;selection;0;human relationships are universal;Latin;0;;;
100;2#44;the brother;Kinship;frater;selection;0;human relationships are universal;Latin;0;fratrus;Sabellic;0
101;2#444;the older brother;Kinship;frater maior;compound;0;human relationships are universal;;;;;
102;2#445;the younger brother;Kinship;frater minor;compound;0;human relationships are universal;;;;;
103;2#45;the sister;Kinship;soror;selection;0;human relationships are universal;Latin;0;;;
104;2#454;the older sister;Kinship;soror maior;compound;0;human relationships are universal;;;;;
105;2#455;the younger sister;Kinship;soror minor;compound;0;human relationships are universal;;;;;
106;2#456;the sibling;Kinship;;none;0;human relationships are universal;;;;;
107;2#61;the older sibling;Kinship;;none;0;human relationships are universal;;;;;
108;2#62;the younger sibling;Kinship;;none;0;human relationships are universal;;;;;
109;2#458;the twins;Kinship;gemini;selection;0;human relationships are universal;Latin;0;;;
110;2#46;the grandfather;Kinship;avus;selection;0;human relationships are universal;Latin;0;;;
111;2#461;the old man;Kinship;senex;selection;0;human relationships are universal;Latin;0;casnar;Sabellic;0
112;2#47;the grandmother;Kinship;avia;selection;0;human relationships are universal;Latin;0;;;
113;2#471;the old woman;Kinship;anus;selection;0;human relationships are universal;Latin;0;;;
114;2#11;the grandparents;Kinship;;none;0;human relationships are universal;;;;;
115;2#48;the grandson;Kinship;nepos;selection;0;human relationships are universal;Latin;0;n;Sabellic;0
116;2#49;the granddaughter;Kinship;neptis;selection;0;human relationships are universal;Latin;0;;;
117;2#5;the grandchild;Kinship;;none;0;human relationships are universal;;;;;
118;2#51;the uncle;Kinship;patruus, avunculus;selection;0;human relationships are universal;Latin;0;;;
119;2#511;the mother's brother;Kinship;avunculus;selection;0;human relationships are universal;Latin;0;;;
120;2#512;the father's brother;Kinship;patruus;selection;0;human relationships are universal;Latin;0;;;
121;2#52;the aunt;Kinship;amita / matertera;selection;0;human relationships are universal;Latin;0;;;
122;2#521;the mother's sister;Kinship;matertera;selection;0;human relationships are universal;Latin;0;;;
123;2#522;the father's sister;Kinship;amita;selection;0;human relationships are universal;Latin;0;;;
124;2#53;the nephew;Kinship;fratris filius;compound;0;human relationships are universal;;;;;
125;2#54;the niece;Kinship;fratris filia;compound;0;human relationships are universal;;;;;
126;2#541;the sibling’s child;Kinship;;none;0;human relationships are universal;;;;;
127;2#55;the cousin;Kinship;consobrinus;selection;0;human relationships are universal;Latin;0;;;
128;2#56;the ancestors;Kinship;maiores;selection;0;human relationships are universal;Latin;0;;;
129;2#57;the descendants;Kinship;progenies;selection;0;human relationships are universal;Latin;0;;;
130;2#61;the father-in-law (of a man);Kinship;socer;selection;0;human relationships are universal;Latin;0;;;
131;2#611;the father-in-law (of a woman);Kinship;socer;selection;0;human relationships are universal;Latin;0;;;
132;2#62;the mother-in-law (of a man);Kinship;socrus;selection;0;human relationships are universal;Latin;0;;;
133;2#621;the mother-in-law (of a woman);Kinship;socrus;selection;0;human relationships are universal;Latin;0;;;
134;2#622;the parents-in-law;Kinship;;none;0;human relationships are universal;;;;;
135;2#63;the son-in-law (of a man);Kinship;gener;selection;0;human relationships are universal;Latin;0;;;
136;2#631;the son-in-law (of a woman);Kinship;gener;selection;0;human relationships are universal;Latin;0;;;
137;2#64;the daughter-in-law (of a man);Kinship;nurus;selection;0;human relationships are universal;Latin;0;;;
138;2#641;the daughter-in-law (of a woman);Kinship;nurus;selection;0;human relationships are universal;Latin;0;;;
139;2#71;the stepfather;Kinship;vitricus;selection;0;human relationships are universal;Latin;0;;;
140;2#72;the stepmother;Kinship;noverca;selection;0;human relationships are universal;Latin;0;;;
141;2#73;the stepson;Kinship;privignus;selection;0;human relationships are universal;Latin;0;;;
142;2#74;the stepdaughter;Kinship;privigna;selection;0;human relationships are universal;Latin;0;;;
143;2#75;the orphan;Kinship;orbus;selection;0;human relationships are universal;Latin;0;;;
144;2#76;the widow;Kinship;vidua;selection;0;human relationships are universal;Latin;0;;;
145;2#77;the widower;Kinship;viduus (vir);compound;0;human relationships are universal;;;;;
146;2#81;the relatives;Kinship;cognatus;selection;0;human relationships are universal;Latin;0;;;
147;2#82;the family;Kinship;familia;selection;0;human relationships are universal;Latin;0;famerias;Sabellic;0
148;2#91;I;Kinship;ego;selection;0;human relationships are universal;Latin;0;miom;Sabellic;0
149;2#92;you (singular);Kinship;tu;selection;0;human relationships are universal;Latin;0;tiom;Sabellic;0
150;2#93;he/she/it;Kinship;is;selection;0;human relationships are universal;Latin;0;eiseis;Sabellic;0
151;2#931;he;Kinship;is;selection;0;human relationships are universal;Latin;0;esuf;Sabellic;0
152;2#932;she;Kinship;ea;selection;0;human relationships are universal;Latin;0;;;
153;2#933;it;Kinship;id;selection;0;human relationships are universal;Latin;0;iiuk;Sabellic;0
154;2#94;we;Kinship;nos;selection;0;human relationships are universal;Latin;0;;;
155;2#941;we (inclusive);Kinship;nos;selection;0;human relationships are universal;Latin;0;;;
156;2#942;we (exclusive);Kinship;nos;selection;0;human relationships are universal;Latin;0;;;
157;2#95;you (plural);Kinship;vos;selection;0;human relationships are universal;Latin;0;;;
158;2#96;they;Kinship;ei;selection;0;human relationships are universal;Latin;0;erom;Sabellic;0
159;3#11;the animal;Animals;animal;selection;0;universal concepts;Latin;0;;;
160;3#12;male(2);Animals;mas;selection;0;universal concepts;Latin;0;;;
161;3#13;female(2);Animals;femina;selection;0;universal concepts;Latin;0;;;
162;3#15;the livestock;Animals;pecus;selection;0;domesticated animals;Latin;0;;;
163;3#16;the pasture;Animals;pabulum;selection;0;domesticated animals;Latin;0;;;
164;3#18;the herdsman;Animals;pastor;selection;0;domesticated animals;Latin;0;;;
165;3#19;the stable or stall;Animals;stabulum;selection;0;domesticated animals;Latin;0;;;
166;3#2;the cattle;Animals;pecus;selection;0;domesticated animals;Latin;0;pequo;Sabellic;0
167;3#21;the bull;Animals;taurus;selection;0;domesticated animals;substrate;0.75;turuf;substrate;0.75
168;3#22;the ox;Animals;bos;selection;0;domesticated animals;Sabellic;1;buf;Sabellic;0
169;3#23;the cow;Animals;vacca;selection;0;domesticated animals;Latin;0;iveka;Sabellic;0
170;3#24;the calf;Animals;vitellus;selection;0;domesticated animals;Latin;0;vitluf;Sabellic;0
171;3#25;the sheep;Animals;ovis;selection;0;domesticated animals;Latin;0;uvef;Sabellic;0
172;3#26;the ram;Animals;aries;selection;0;domesticated animals;Latin;0;erietu;Sabellic;0
173;3#28;the ewe;Animals;ovis femina;compound;0;domesticated animals;;;;;
174;3#29;the lamb;Animals;agnus;selection;0;domesticated animals;Latin;0;hapinaf;Sabellic;0
175;3#32;the boar;Animals;aper;selection;0;domesticated animals;Latin;0;apruf;Sabellic;0
176;3#34;the sow;Animals;scrofa / porca;selection;0;domesticated animals;substrate;0.25;parca;Sabellic;0
177;3#35;the pig;Animals;porcus;selection;0;domesticated animals;Latin;0;sif;Sabellic;0
178;3#36;the goat;Animals;caper;selection;0;domesticated animals;Celtic;0.25;kaprum;Celtic;0.25
179;3#37;the he-goat;Animals;caper;nonspecific;0;domesticated animals;Latin;0;;;
180;3#38;the kid;Animals;haedus;selection;0;domesticated animals;substrate;1;;;
181;3#41;the horse;Animals;equus;selection;0;domesticated animals;Latin;0;;;
182;3#42;the stallion;Animals;equus admissarius;compound;0;domesticated animals;;;;;
183;3#44;the mare;Animals;equa;selection;0;domesticated animals;Latin;0;;;
184;3#45;the foal or colt;Animals;pullus (equinus);selection;0;domesticated animals;Latin;0;;;
185;3#46;the donkey;Animals;asinus;selection;0;domesticated animals;Sabellic;1;;;
186;3#47;the mule;Animals;mulus;selection;0;domesticated animals;Latin;0;;;
187;3#5;the fowl;Animals;volucres;selection;0;domesticated animals;Latin;0;;;
188;3#52;the cock/rooster;Animals;gallus;selection;0;domesticated animals;Latin;0;;;
189;3#54;the hen;Animals;gallina;selection;0;domesticated animals;Latin;0;;;
190;3#55;the chicken;Animals;pullus (gallinaceus);selection;0;domesticated animals;Latin;0;;;
191;3#56;the goose;Animals;anser;selection;1;mostly wild?;Sabellic;0.75;;;
192;3#57;the duck;Animals;anas;selection;1;mostly wild?;Latin;0;;;
193;3#58;the nest;Animals;nidus;selection;1;mostly wild?;Latin;0;;;
194;3#581;the bird;Animals;avis;selection;1;mostly wild?;Latin;0;aves;Sabellic;0
195;3#582;the seagull;Animals;larus / gavia;selection;1;wild animals;Greek;1;;;
196;3#583;the heron;Animals;ardea;selection;1;wild animals;substrate;0.5;;;
197;3#584;the eagle;Animals;aquila;selection;1;wild animals;Latin;0;;;
198;3#585;the hawk;Animals;accipiter;selection;1;wild animals;Latin;0;;;
199;3#586;the vulture;Animals;vultur;selection;1;wild animals;Latin;0;;;
200;3#591;the bat;Animals;vespertilio;selection;1;wild animals;Latin;0;;;
201;3#592;the parrot;Animals;psittacus;selection;1;wild animals;Greek;1;;;
202;3#593;the crow;Animals;cornix;selection;1;wild animals;Latin;0;curnase;Sabellic;0
203;3#594;the dove;Animals;columba;selection;1;wild animals;Greek;0.25;;;
204;3#596;the owl;Animals;bubo;selection;1;wild animals;Latin;0;;;
205;3#597;the cormorant;Animals;;none?;1;wild animals;;;;;
206;3#598;the toucan;Animals;;anachronism;1;wild animals;;;;;
207;3#61;the dog;Animals;canis;selection;0;domesticated animals;Latin;0;;;
208;3#614;the rabbit;Animals;cuniculus;selection;1;wild animals;Greek;1;;;
209;3#62;the cat;Animals;feles;selection;1;wild animals;Latin;0;;;
210;3#622;the opossum;Animals;;anachronism;1;wild animals;;;;;
211;3#63;the mouse or rat;Animals;mus;selection;1;wild animals;Latin;0;;;
212;3#65;the fish;Animals;piscis;selection;1;wild animals;Latin;0;;;
213;3#652;the fin;Animals;pinna;selection;1;wild animals;Latin;0;;;
214;3#653;the scale;Animals;squama;selection;1;wild animals;substrate;0.25;;;
215;3#654;the gill;Animals;;none?;1;wild animals;;;;;
216;3#655;the shell;Animals;testa;selection;1;wild animals;substrate;0.25;;;
217;3#661;the shark;Animals;pristix;selection;1;wild animals;Greek;1;;;
218;3#662;the porpoise or dolphin;Animals;delphinus;selection;1;wild animals;Greek;1;;;
219;3#663;the whale;Animals;balaena;selection;1;wild animals;Greek;1;;;
220;3#664;the stingray;Animals;raia;selection;1;wild animals;substrate;0.25;;;
221;3#665;the freshwater eel;Animals;anguilla;selection;1;wild animals;Latin;0;;;
222;3#71;the wolf;Animals;lupus;selection;1;wild animals;Sabellic;1;;;
223;3#72;the lion;Animals;leo;selection;1;wild animals;Greek;1;;;
224;3#73;the bear;Animals;ursus;selection;1;wild animals;Sabellic;0.75;;;
225;3#74;the fox;Animals;vulpes;selection;1;wild animals;Latin;0;;;
226;3#75;the deer;Animals;cervus;selection;1;wild animals;Latin;0;;;
227;3#76;the monkey;Animals;simia;selection;1;wild animals;Greek;1;;;
228;3#77;the elephant;Animals;elephantus;selection;1;wild animals;Greek;1;;;
229;3#78;the camel;Animals;camelus;selection;1;wild animals;Greek;1;;;
230;3#81;the insect;Animals;bestiola;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
231;3#811;the head louse;Animals;pediculus;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
232;3#812;the body louse;Animals;pediculus;nonspecific;0;non-domesticated animals which would have been present in any home;Latin;0;;;
233;3#813;the flea;Animals;pulex;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
234;3#814;the centipede;Animals;centipeda;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
235;3#815;the scorpion;Animals;scorpio;selection;0;non-domesticated animals which would have been present in any home;Greek;1;;;
236;3#816;the cockroach;Animals;blatta;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
237;3#817;the ant;Animals;formica;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
238;3#818;the spider;Animals;aranea;selection;0;non-domesticated animals which would have been present in any home;Greek;1;;;
239;3#819;the spider web;Animals;araneae texta;selection;0;non-domesticated animals which would have been present in any home;Greek;1;;;
240;3#82;the bee;Animals;apis;selection;1;wild animals;Semitic;0.25;;;
241;3#821;the beeswax;Animals;cera;selection;1;wild animals;Greek;0.75;;;
242;3#822;the beehive;Animals;alveus;selection;1;wild animals;Latin;0;;;
243;3#823;the wasp;Animals;vespa;selection;1;wild animals;Latin;0;;;
244;3#83;the fly;Animals;musca;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
245;3#831;the sandfly or midge or gnat;Animals;culex;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
246;3#832;the mosquito;Animals;culex;selection;0;non-domesticated animals which would have been present in any home;Latin;0;;;
247;3#833;the prawns or shrimp;Animals;;none?;1;wild animals;;;;;
248;3#834;the termites;Animals;;none?;1;wild animals;;;;;
249;3#835;the tick;Animals;ricinus;selection;1;wild animals;Latin;0;;;
250;3#84;the worm;Animals;vermis;selection;1;wild animals;Latin;0;;;
251;3#85;the snake;Animals;anguis;selection;1;wild animals;Latin;0;;;
252;3#862;the coyote;Animals;;anachronism;1;wild animals;;;;;
253;3#863;the hare;Animals;lepus;selection;1;wild animals;substrate;1;;;
