Order;Lexeme;Umbrian_attested;Oscan_attested;include;comment;INCLUDE;sample2;sample;meaning;umbrian;oscan;latin;Frequency;meaning;English;Dutch;German;;
86;kastru;"kastruvuf:; kastruvuf:; kastruvu:; kastruvu:; castruo.; castruo.; castruo.; castruo; castruo.; castruo.; castruo.; castruo.; castruo; castruo.; castruo.";"castrid; castrous";YES;;yes;yes;yes;?;kastros;kastrows;;;?;;;;;
62;supero;supru:;"supruis:; supṛ[us]";YES;;yes;yes;yes;above;supru;supru;supEra;;above;3b3v;bov3n;ob3n;;
61;posti;"pus; pus; pus; puste:; pus";"pust; púst·";YES;;yes;yes;yes;after;pos;post;post;;after;aft3r;axt3r;;;
68;aasaa;"ase:; asa:; asam; asa; asa; ase:; asa:; asam; asa:; asam; asa.; asam";"aasaí·; aasas·; aasaí·; aram_|; aasass·";YES;;limited;yes;;altar*;azo;azo;ara;;altar;altar;;;;
27;et;"et:; et:; et:; et:; et:; et:; et:; et:; et:; et.; et.; et.; et; et.; et.; et.; et.; et; et.; et";ετ;YES;;yes;yes;yes;and;Et;Et;Et;;and;End;En;und;;
48;panto;"panta:; panta:";"παντου[δ][-]; pantes";YES;;yes;yes;yes;as great;panto;panto;kw~anta;;as great;;;;;
84;komno;kumne:;"comẹnei; comono; comono; comono; comono; comono; comono; comono{m}; comenei";YES;;limited;yes;;assembly*;komnE;kom3nEy;konwEnto;;assembly;;;;;
0;es;"fust:; e; est:; est:; fust:; fefure:; est:; futu:; futu:; futu:; fust:; futu:; futu:; fust:; si:; sis:; fust:; fust:; fust; furent:; si:; eru:; si:; eru:; si:; eru:; si:; est.; fust.; est.; est.; est.; sent.; sei.; sei.; est.; sent.; est.; est.; est; est.; est.; est.; sei.; futu.; futu.; est.; sent.; est.; est.; est.; est.; est.; est.; si.; futu.; futu.; est.; sent.; est.; est.; est.; est.; est.; est.; si.; futu.; futu.; si.; sir.; sir.; futu.; futu.; sir.; si.; est.; sent.; esṭ.; est.; est.; est.; est.; est; est; futu.; futu.; fust.; fus.; fust; fust; fust.; e.; fust.; est.; est.; est.; fututo.; futu.; futu.; futu.; fust; futu.; fust; est.; erom.; est; sins";"sim; sum; ist·; st; i(s)t; fuse[t]; sim; sim·; sim; sum; esu; sum; sent:; sent:; sent:; sent:; sent:; fust·; ạdfust·; est; set·; fufens; est·; set·; fụfens; súm·; set·; set·; súm; εϲτουδ; fουϲτ; εϲτ[ουδ][-]; súm; s(is); úpsim; úpsim; súm; set·; st.; súm; súm; súm; [f]usṭ,; osins; ezum; estud; fust; fust; fust; estud.; fust; set,; estud,; fu]id; fust; fuid; fust; fust; fuid.; f>_|ụst; estud.; f>ui<d>.; estud_|[-]; fust; se(n)t)·; sent·; fufans·; íst·; íst]; íst·; set·; fusíd·; fus]íd; [ís]ṭ·; íst·; íst·; íst·; estud; estud; íst; íst·; st·; sint·; sit; súm";YES;;yes;yes;yes;be;Erom;Ezom;EsE;;be;;zEn;zain;;
28;enim;"ene:; eine; eine.; enem.; enem.";"ι(νι)μ; íṇíl[·]; iní|m·; ini-ṃ; ειν(ειμ); εινεμ; |_εινε_|ιμ; εινειμ; íním·; ínim·; ínim·; inim]; inim:; inim:; inim; ịṇ[i]ṃ:; inim:; inim:; inim; [inim]; inim; inim; [-][í]ṇím·; [-][í]ním·; íním·; íní(m)·; íní(m)·; [-](?)[íní]ṃ:; ειν(ειμ)·; íníṃ·; inim; in(im); in(im); in(im); in(im); in(im); in(im); in(im); in(im); in(im); in(im); [-][inim; íní(m)·; íní(m)·; iní(m)·; iní(m)·; íní(m)·; íní(m)[·]; íním·; íním·; íním·; íním·; íním·; [íním]; ị́[ním]; íním·; íním; íním·; íním·; íním·; [í]ṇím·; íním·]; [íní]m·; [-][íním·]; [íním·]; ị́ṇị́ṃ[·]; [í]ṇ[ím·; inim·; íním·; íním·; íním·; ínim·; íním·";YES;;yes;yes;yes;because;ene*;enem;Enim;;because;;;;;
37;pray;"pre; pre; pre; pre.; pre.; pre.; pre.; pre.; pre.; pre.; pre.";"pr|ai·; pra|i·";YES;;yes;yes;yes;before;prE;pray;pray;;before;b3for;vor;vor;;
101;perti;pert:;pert·;YES;;yes;yes;yes;beyond;pErt;pErt;;;beyond;biyond;xints;;;
98;termeno;"termnes; termnu; termnu; termnom; termnu; termnom; termnom";teremníss·;DIFF_FORM;;limited;yes;;border*;tErmno;tErEm3nyo;tErmini;;border;;;;;
36;fraatr;"fratrus; fratru:; fratru:; fratru; frater:; fratru:; fratrum:; fratrusper:; fratrus; frater:; fratru:; frater:; frater:; fratru:; fratru:; fratru; fratru:; fratrus.; frater.; fratrus; frateer.; fratrus; fratrom.";"fratrúm; fraṭrúm·";YES;;yes;yes;yes;brother;frater;frater;fratEr;;brother;br383r;brur;brud3r;;
29;tawro;"turuf:; turuf̣:; tures:; toru.; toru.";ταυρομ;YES;;yes;yes;yes;bull;toro*;tawrom;tawrum;;bull;kau;ku;kh~u;b3l?;b3l3?
57;eme;"emantur:; emantu:";"emmẹns; peremust.";YES;;yes;yes;yes;buy;Emo*;Emom;EmErE;;buy;;kop3n;kh~auf3n;;
100;fere;"aferum:; fertu; fertu:; fertu:; ferest:; fertu:; fertu:; fertu:; fertu:; fer{:}tu:; fertu:; fertu:; fertu:; fertu:; fertu:; fertu:; fertu:; fertu:; fertuta:; anferener.; aferom.; ferar.; fertu.; fertu.";"amfret; amfret·; [f]erríns";YES;;yes;yes;yes;carry;fEro*;fErom;fErE;;carry;bEr;bar3n;gEber3n;;
90;bene;"menes:; benus:; benurent:; benurent:; benurent:; benust.; benurent.; benuso; benuso; {benuso}";"cebnust; kúmbened·";YES;;yes;yes;yes;come;bene;bened;wEnit;;come;kEim;kwom;kh~om;;
8;moyniko;"muneklu:; muneklu:; muneklu:";"muinikam; múinik(ú)·; mụ́-i|-(nik(ú)·; múí(níkú); mú[íníkad]; múíní[kúm]; múíníkeí·; múíníkú·; múíníkad·";CHECK;;yes;yes;yes;common;moneklu;moyneko;komunis;;common;;;;;
91;famelyaa;fameřias:;famelo;YES;;yes;yes;yes;family;famE8yo;famElyo;familia;;family;;;;;
21;pateer;patre:;"patir·; patereí·";YES;;yes;yes;yes;father;patrE;pat3rEy;patri;;father;fa83r;vad3r;vat3r;;
82;moltaa;"muta:; muta:; mutu:; motar.";"moltam; molto; moltaum; moltas; moltaum; moltaum; molto; moltaum; moltas; moltaum; moltas][-]; moltaum; [-][moltas]; moltaum";YES;;limited;yes;;fine*;moto;molto;multa;;fine;;;;;
