No.;English;Latin;Oscan;Umbrian;Old Sabellic;Latin_cognacy;Oscan_cognacy;Umbrian_cognacy;Other_cognacy
1;I;ego;íív;eco;ekú;1;1;1;1
2;you (singular);tu;tiium;tiu;tíom;1;1;1;1
3;he;is;eiseis;erer;;1;1;1;
4;we;nos;;;;1;;;
5;you (plural);vos;uus;;;1;1;;
6;they;is;eisunk;ero;;1;1;1;
7;this;hic;ekuf;;estufk;1;2;;2
8;that;ille;ulam / pus;ures / pusi;;1;2;2;
9;here;hic;ecuf;;estufk;1;2;;2
10;there;ibi;íp;ife;;1;1;1;
11;who;quis;pis;poi;poi;1;1;1;1
12;what;quid;;pirse;;1;;1;
13;where;ubi;puf;pufe;;1;1;1;
14;when;cum;pún;ape / pune;;1;1;1;
15;how;quomodo;;;;1;;;
16;not;non, ne;nep;neip;ni;1;1;1;1
17;all;omnes;sulum;;;1;2;;
18;many;multi;;;;1;;;
19;some;aliqui;;;;1;;;
20;few;pauci;;;;1;;;
21;other;alius;alttreí;;;1;1;;
22;one;unus;;unu;;1;;1;
23;two;duo;;tuf;;1;;1;
24;three;tres;tris;trif;;1;1;1;
25;four;quattuor;;;;1;;;
26;five;quinque;;;;1;;;
27;big;magnus;maistram;;;1;1;;
28;long;longus;;;;1;;;
29;wide;latus;;;;1;;;
30;thick;crassus;;;;1;;;
31;heavy;gravis;;;;1;;;
32;small;parvus;;;;1;;;
33;short;brevis;;;;1;;;
34;narrow;angustus;;;;1;;;
35;thin;tenuis;;;;1;;;
36;woman;mulier;usurs;;;1;2;;
37;man (adult male);vir;niir;nerf;nír;1;2;2;2
38;man (human being);homo;humuns;homonus / ueiro;;1;1;1;
39;child;puer;malaks / cnatois;;;1;;;
40;wife;uxor;;;;1;;;
41;husband;maritus;;;;1;;;
42;mother;mater;maatreís;matres;matereíh;1;1;1;1
43;father;pater;patir;patre;patereíh;1;1;1;1
44;animal;animal;;;;1;;;
45;fish;piscis;;;;1;;;
46;bird;avis;;aves;;1;;1;
47;dog;canis;;katle;;1;;2;
48;louse;pedis;;;;1;;;
49;snake;anguis;;;;1;;;
50;worm;vermis;;;;1;;;
51;tree;arbor;;;;1;;;
52;forest;silva;;;;1;;;
53;stick;baculum;;arsmatia;;1;;2;
54;fruit;fructus;;fri;;1;;1;
55;seed;semen;;;;1;;;
56;leaf;folium;;;;1;;;
57;root;radix;;;;1;;;
58;bark (of a tree);cortex;;;;1;;;
59;flower;flos;;;;1;;;
60;grass;herba;;;;1;;;
61;rope;funis;;;;1;;;
62;skin;cutis;;;;1;;;
63;meat;caro;;pelmner;;1;;2;
