WALS features;ID;Category;Latin;Oscan;Umbrian;Old_Sabellic;Venetic;Messapic;Etruscan;Greek_Ancient;Gaulish;Phrygian;Punic
1. Consonant Inventories;1;Phonology;2;2;2;2;2;2;2;2;2;2;3
2. Vowel Quality Inventories;2;Phonology;2;3;3;2;2;1;1;3;2;2;5
3. Consonant‑Vowel Ratio;3;Phonology;3;2;3;3;3;3;3;2;2;3;3
4. Voicing of Obstruents;4;Phonology;2;2;2;2;4;2;1;2;2;2;4
5. Gaps in Plosive Systems;5;Phonology;2;2;2;2;2;2;1;2;2;2;2
10. Vowel Nasalization;10;Phonology;1;2;1;2;2;2;2;2;2;2;2
11. Front Rounded Vowels;11;Phonology;1;1;1;1;1;1;1;3;1;1;1
12. Syllable Structure;12;Phonology;3;3;3;3;3;3;3;3;3;3;3
14. Fixed Stress Locations;14;Phonology;2;2;2;2;2;0;2;1;1;0;7
18. Common Consonants;18;Phonology;1;1;1;1;1;1;1;1;1;1;1
20. Fusion of Formatives;20;Morphology;1;1;1;1;1;1;1;1;1;1;2
21. Exponence of Formatives;21;Morphology;2;2;2;2;2;2;1;2;2;2;5
22. Inflectional Verb Synthesis;22;Morphology;3;3;3;3;3;3;2;3;3;3;3
23. Marking in the Clause;23;Morphology;2;2;2;2;2;2;2;2;2;2;4
24. Possessive Marking;24;Morphology;2;2;2;2;2;2;2;2;2;2;1
25. Marking: Typology;25;Morphology;2;2;2;2;2;2;2;2;2;2;5
26. Prefixing vs. Suffixing;26;Morphology;2;2;2;2;2;2;2;2;2;2;3
28. Case Syncretism;28;Morphology;3;3;3;0;3;3;4;2;3;2;1
30. Number of Genders;30;Morphology;3;3;3;3;3;3;1;3;3;3;2
31. Sex‑based Gender Systems;31;Morphology;2;2;2;2;2;2;1;2;2;2;2
33. Coding of Nominal Plurality;33;Morphology;2;2;2;2;2;2;2;2;2;2;2
34. Occurrence of Plurality;34;Morphology;6;6;6;0;0;6;6;6;6;0;6
35. Plurality in Pronouns;35;Morphology;5;5;5;0;0;0;0;6;0;0;5
49. Number of Cases;49;Morphology;5;6;6;6;5;6;5;4;6;4;1
50. Asymmetrical Case‑Marking;50;Morphology;4;4;4;4;4;0;2;4;4;4;1
51. Position of Case Affixes;51;Morphology;1;1;1;1;1;1;1;1;1;1;7
57. Possessive Affixes;57;Morphology;4;4;4;0;0;0;4;4;0;0;2
58. Possessive Inflection;58;Morphology;2;2;2;0;0;0;2;2;0;0;2
59. Possessive classification;59;Morphology;1;1;1;1;1;1;1;1;1;1;1
98. Alignment of NPs;98;Morphology;2;2;2;2;2;0;1;2;2;2;1
99. Alignment of Pronouns;99;Morphology;2;2;2;0;0;0;2;2;2;0;1
100. Verbal Alignment;100;Morphology;2;2;2;2;2;0;1;2;2;2;2
101. Pronominal Subjects;101;Morphology;2;2;2;2;2;2;2;2;2;2;2
102. Verbal Person Marking;102;Morphology;2;2;2;2;2;2;1;2;2;2;1
103. Third Person Zero;103;Morphology;2;2;2;2;2;3;1;2;2;2;2
104. Order of Person Markers;104;Morphology;1;1;1;1;1;1;1;1;1;1;3
37. Definite Articles;37;Words;5;5;5;0;5;5;3;1;5;5;3
