;0;1;2;3;4;5;6;7
0;417;68.2 %;157;77.7 %;40;37.7 %;170;69.7 %
1;194;31.8 %;45;22.3 %;66;62.3 %;74;30.3 %
2;155;58.1 %;123;82.6 %;3;6.7 %;22;36.7 %
3;68;25.5 %;8;5.4 %;31;68.9 %;25;41.7 %
4;44;16.5 %;18;12.1 %;11;24.4 %;13;21.7 %
5;37;41.1 %;21;67.7 %;6;22.2 %;6;22.2 %
6;53;58.9 %;10;32.3 %;21;77.8 %;21;77.8 %
7;219;93.6 %;10;90.9 %;30;96.8 %;141;92.2 %
8;15;6.4 %;1;9.1 %;1;3.2 %;12;7.8 %
9;2;16.7 %;2;25.0 %;0;0.0 %;0;0.0 %
10;3;25.0 %;1;12.5 %;0;0.0 %;2;66.7 %
11;7;58.3 %;5;62.5 %;1;100.0 %;1;33.3 %
