;Field;Count;WOLD;Latin
14;Animals;95;0.16;0.34
17;Food and drink;75;0.2;0.28
7;Agriculture and vegetation;58;0.17;0.2
3;Clothing and grooming;42;0.18;0.18
8;Religion and belief;14;0.2;0.14
2;Speech and language;41;0.08;0.13
10;Warfare and hunting;36;0.11;0.11
0;All;1251;0.1;0.09
23;The house;36;0.21;0.07
4;The physical world;62;0.04;0.06
21;Possession;44;0.12;0.06
20;Time;45;0.06;0.06
16;Law;24;0.11;0.05
24;Basic actions and technology;72;0.11;0.05
6;Motion;75;0.09;0.05
1;Sense perception;48;0.02;0.04
11;The body;149;0.04;0.04
18;Emotions and values;48;0.03;0.04
9;Social and political relations;36;0.08;0.02
5;Quantity;38;0.1;0.02
13;Cognition;50;0.07;0.0
15;Kinship;66;0.04;0.0
19;Spatial relations;75;0.04;0.0
22;Miscellaneous function words;14;0.03;0.0
12;Modern world;8;0.29;0.0
